student_id,enroll_month,channel,grade_band,sessions_per_week,assessment_gap,first8_attendance,tenure_months,churned,cac,revenue_to_date
S00110,4,referral,elementary,2,1.7,0.942,13.24,1,60,4170.6
S00111,7,walk_in,high,1,1.8,0.812,4.9,1,45,1543.5
S00112,7,organic,high,1,2.4,0.656,6.99,1,95,2201.85
S00113,2,walk_in,middle,1,1.4,0.857,10.74,1,45,3383.1
S00114,1,organic,middle,1,2.1,0.799,13.28,1,95,4183.2
S00115,3,referral,middle,1,1.8,0.921,27.0,0,60,8505.0
S00116,7,referral,middle,1,0.0,0.88,13.53,1,60,4261.95
S00117,22,organic,high,2,1.4,0.844,1.63,1,95,513.45
S00118,20,paid,middle,1,2.9,0.894,2.03,1,495,639.45
S00119,1,referral,elementary,1,1.3,1.0,15.55,1,60,4898.25
S00120,29,organic,elementary,2,1.6,0.962,1.0,0,95,315.0
S00121,23,paid,elementary,2,1.2,1.0,7.0,0,495,2205.0
S00122,28,referral,high,2,1.3,0.941,2.0,0,60,630.0
S00123,11,paid,middle,2,2.7,0.913,17.16,1,495,5405.4
S00124,22,referral,college,1,1.5,0.959,0.5,1,60,157.5
S00125,20,organic,elementary,1,0.8,0.938,5.56,1,95,1751.4
S00126,27,organic,middle,1,0.0,0.937,3.0,0,95,945.0
S00127,18,organic,high,1,1.2,0.892,12.0,0,95,3780.0
S00128,12,organic,high,1,0.0,1.0,1.34,1,95,422.1
S00129,3,organic,elementary,1,0.1,0.927,0.93,1,95,292.95
S00130,16,walk_in,middle,1,2.4,0.796,0.5,1,45,157.5
S00131,22,paid,middle,1,2.3,0.786,8.0,0,495,2520.0
S00132,27,organic,high,2,0.0,0.946,3.0,0,95,945.0
S00133,26,organic,middle,1,2.5,0.844,4.0,0,95,1260.0
S00134,0,walk_in,elementary,1,2.1,0.711,6.23,1,45,1962.45
S00135,3,paid,college,2,1.0,0.687,1.77,1,495,557.55
S00136,7,walk_in,middle,1,2.4,0.854,12.28,1,45,3868.2
S00137,29,paid,high,2,0.2,0.764,1.0,0,495,315.0
S00138,6,paid,middle,2,0.6,0.951,7.68,1,495,2419.2
S00139,24,walk_in,elementary,1,0.4,0.927,6.0,0,45,1890.0
S00140,29,referral,elementary,1,0.7,1.0,1.0,0,60,315.0
S00141,18,paid,elementary,2,2.5,1.0,9.07,1,495,2857.05
S00142,19,paid,elementary,1,0.5,0.948,5.83,1,495,1836.45
S00143,20,referral,elementary,1,0.7,0.838,10.0,0,60,3150.0
S00144,12,paid,middle,1,0.8,0.765,18.0,0,495,5670.0
S00145,1,walk_in,middle,1,1.9,0.757,29.0,0,45,9135.0
S00146,13,organic,middle,1,1.4,0.871,17.0,0,95,5355.0
S00147,6,paid,high,1,2.5,0.59,17.98,1,495,5663.7
S00148,28,paid,elementary,1,1.1,0.889,2.0,0,495,630.0
S00149,27,walk_in,elementary,2,0.5,0.926,3.0,0,45,945.0
S00150,21,organic,high,2,1.2,0.967,9.0,0,95,2835.0
S00151,25,referral,middle,1,1.7,0.817,1.43,1,60,450.45
S00152,24,paid,middle,2,0.9,0.921,6.0,0,495,1890.0
S00153,6,referral,elementary,1,1.9,0.764,24.0,0,60,7560.0
S00154,14,paid,middle,2,3.3,0.75,1.05,1,495,330.75
S00155,16,walk_in,elementary,2,1.2,0.701,10.1,1,45,3181.5
S00156,29,organic,high,2,1.7,0.887,1.0,0,95,315.0
S00157,10,paid,high,1,2.9,0.97,0.5,1,495,157.5
S00158,7,organic,middle,2,1.1,0.918,23.0,0,95,7245.0
S00159,5,organic,elementary,1,0.9,0.93,8.85,1,95,2787.75
S00160,6,organic,high,1,0.7,0.791,1.7,1,95,535.5
S00161,23,walk_in,elementary,1,2.0,0.997,7.0,0,45,2205.0
S00162,15,referral,high,1,2.2,0.747,15.0,0,60,4725.0
S00163,20,organic,high,2,1.6,0.966,7.52,1,95,2368.8
S00164,27,paid,high,1,1.7,0.865,1.7,1,495,535.5
S00165,2,paid,high,1,2.8,0.698,28.0,0,495,8820.0
S00166,16,paid,middle,2,2.5,0.95,14.0,0,495,4410.0
S00167,20,paid,high,1,0.4,0.914,10.0,0,495,3150.0
S00168,13,organic,middle,2,1.7,0.893,17.0,0,95,5355.0
S00169,0,walk_in,elementary,1,1.8,0.899,0.86,1,45,270.9
S00170,18,paid,middle,2,2.3,0.844,5.56,1,495,1751.4
S00171,2,paid,middle,2,1.5,0.841,17.11,1,495,5389.65
S00172,7,paid,high,1,1.1,0.932,23.0,0,495,7245.0
S00173,12,organic,high,1,1.3,0.827,14.1,1,95,4441.5
S00174,12,organic,elementary,1,0.1,0.933,18.0,0,95,5670.0
S00175,1,paid,elementary,1,1.7,0.78,16.48,1,495,5191.2
S00176,26,referral,middle,1,1.1,0.717,2.58,1,60,812.7
S00177,15,referral,middle,2,2.1,0.781,15.0,0,60,4725.0
S00178,6,referral,college,1,0.8,0.84,24.0,0,60,7560.0
S00179,20,organic,college,2,1.3,0.893,0.5,1,95,157.5
S00180,28,walk_in,college,2,0.8,1.0,2.0,0,45,630.0
S00181,7,referral,high,1,0.7,0.713,12.99,1,60,4091.85
S00182,16,referral,high,1,2.3,0.841,0.93,1,60,292.95
S00183,20,paid,elementary,2,1.3,0.648,8.11,1,495,2554.65
S00184,29,walk_in,middle,1,2.1,0.72,1.0,0,45,315.0
S00185,2,organic,elementary,1,0.7,0.843,0.85,1,95,267.75
S00186,14,organic,high,1,1.8,0.601,10.31,1,95,3247.65
S00187,2,organic,elementary,1,0.1,0.721,4.61,1,95,1452.15
S00188,7,organic,elementary,1,1.2,0.893,0.5,1,95,157.5
S00189,14,organic,middle,1,1.2,0.885,5.75,1,95,1811.25
S00190,12,organic,middle,1,2.2,0.818,4.61,1,95,1452.15
S00191,0,paid,high,2,1.8,0.781,0.5,1,495,157.5
S00192,10,organic,elementary,2,1.5,1.0,16.75,1,95,5276.25
S00193,22,paid,elementary,1,2.4,0.804,6.01,1,495,1893.15
S00194,16,organic,high,1,1.8,0.754,14.0,0,95,4410.0
S00195,26,paid,high,1,2.1,1.0,4.0,0,495,1260.0
S00196,24,organic,middle,1,2.4,0.89,3.46,1,95,1089.9
S00197,0,organic,middle,2,1.6,0.837,30.0,0,95,9450.0
S00198,7,walk_in,elementary,1,1.4,0.998,23.0,0,45,7245.0
S00199,23,paid,high,2,2.0,0.877,7.0,0,495,2205.0
S00200,14,referral,high,1,1.3,0.942,1.88,1,60,592.2
S00201,17,paid,middle,2,2.0,0.886,5.26,1,495,1656.9
S00202,5,paid,elementary,2,2.7,0.715,3.48,1,495,1096.2
S00203,29,organic,elementary,2,2.4,0.949,1.0,0,95,315.0
S00204,24,paid,middle,2,1.3,0.909,6.0,0,495,1890.0
S00205,24,organic,middle,1,0.5,0.796,6.0,0,95,1890.0
S00206,14,referral,elementary,2,1.6,0.794,16.0,0,60,5040.0
S00207,27,walk_in,middle,1,1.5,0.968,3.0,0,45,945.0
S00208,25,referral,middle,2,2.7,0.788,5.0,0,60,1575.0
S00209,25,organic,elementary,2,1.3,0.897,5.0,0,95,1575.0
S00210,25,organic,middle,1,1.5,0.934,1.98,1,95,623.7
S00211,25,organic,middle,1,2.3,0.841,5.0,0,95,1575.0
S00212,22,organic,middle,1,1.2,0.708,8.0,0,95,2520.0
S00213,22,paid,middle,1,1.5,0.933,8.0,0,495,2520.0
S00214,12,referral,middle,1,3.2,0.889,4.98,1,60,1568.7
S00215,27,organic,elementary,1,3.0,0.89,3.0,0,95,945.0
S00216,25,referral,high,1,2.2,1.0,5.0,0,60,1575.0
S00217,2,referral,middle,2,1.9,0.905,28.0,0,60,8820.0
S00218,28,organic,middle,2,0.8,0.999,2.0,0,95,630.0
S00219,24,referral,high,2,2.2,1.0,6.0,0,60,1890.0
S00220,4,walk_in,high,1,1.7,0.822,0.5,1,45,157.5
S00221,20,organic,high,1,1.9,1.0,6.19,1,95,1949.85
S00222,16,paid,high,2,1.2,1.0,14.0,0,495,4410.0
S00223,10,paid,high,1,1.6,0.944,20.0,0,495,6300.0
S00224,22,paid,high,2,1.5,1.0,8.0,0,495,2520.0
S00225,13,organic,elementary,1,1.9,0.938,17.0,0,95,5355.0
S00226,12,paid,high,1,2.9,0.703,6.35,1,495,2000.25
S00227,3,paid,elementary,1,2.0,0.965,10.87,1,495,3424.05
S00228,17,referral,elementary,1,0.2,0.957,12.39,1,60,3902.85
S00229,9,referral,elementary,1,0.8,0.939,5.61,1,60,1767.15
S00230,9,organic,middle,1,0.2,0.938,21.0,0,95,6615.0
S00231,21,referral,elementary,2,0.9,1.0,9.0,0,60,2835.0
S00232,28,referral,high,1,2.2,0.892,2.0,0,60,630.0
S00233,16,walk_in,high,1,2.0,0.763,14.0,0,45,4410.0
S00234,27,organic,high,1,1.1,0.934,3.0,0,95,945.0
S00235,27,organic,elementary,1,1.9,0.925,3.0,0,95,945.0
S00236,14,paid,middle,1,1.0,0.805,1.8,1,495,567.0
S00237,7,organic,high,1,0.4,0.864,5.15,1,95,1622.25
S00238,26,paid,elementary,2,0.4,0.89,0.5,1,495,157.5
S00239,6,walk_in,elementary,1,0.9,0.823,24.0,0,45,7560.0
S00240,4,organic,elementary,1,2.9,0.838,19.68,1,95,6199.2
S00241,22,organic,middle,2,0.5,1.0,5.43,1,95,1710.45
S00242,22,paid,elementary,1,2.8,1.0,8.0,0,495,2520.0
S00243,28,paid,middle,2,2.8,0.955,2.0,0,495,630.0
S00244,0,organic,middle,2,1.5,0.995,30.0,0,95,9450.0
S00245,11,paid,high,1,1.6,0.984,8.38,1,495,2639.7
S00246,16,organic,middle,1,1.1,1.0,14.0,0,95,4410.0
S00247,11,paid,high,2,1.6,0.837,19.0,0,495,5985.0
S00248,0,referral,elementary,1,2.2,0.907,2.27,1,60,715.05
S00249,1,organic,high,2,1.7,0.909,29.0,0,95,9135.0
S00250,12,organic,high,2,2.6,0.819,18.0,0,95,5670.0
S00251,7,paid,high,2,2.7,0.778,23.0,0,495,7245.0
S00252,11,organic,elementary,1,2.0,0.784,4.77,1,95,1502.55
S00253,27,organic,college,2,1.9,0.835,3.0,0,95,945.0
S00254,0,organic,middle,1,1.6,0.722,30.0,0,95,9450.0
S00255,29,paid,elementary,1,2.0,0.897,1.0,0,495,315.0
S00256,29,organic,middle,1,0.7,0.896,1.0,0,95,315.0
S00257,14,referral,middle,1,2.0,0.852,2.11,1,60,664.65
S00258,3,paid,middle,2,1.8,0.906,5.12,1,495,1612.8
S00259,25,organic,elementary,1,0.9,0.969,0.5,1,95,157.5
S00260,23,organic,elementary,1,3.6,0.703,7.0,0,95,2205.0
S00261,6,referral,middle,2,0.8,0.902,24.0,0,60,7560.0
S00262,12,organic,high,1,0.9,0.713,15.29,1,95,4816.35
S00263,19,organic,middle,1,1.9,0.6,3.33,1,95,1048.95
S00264,29,organic,elementary,1,0.0,0.717,1.0,0,95,315.0
S00265,27,organic,middle,1,0.9,1.0,3.0,0,95,945.0
S00266,29,walk_in,elementary,1,0.3,0.716,1.0,0,45,315.0
S00267,10,organic,elementary,2,0.8,0.966,13.47,1,95,4243.05
S00268,16,organic,college,2,1.5,1.0,0.71,1,95,223.65
S00269,19,referral,elementary,2,1.9,0.814,7.09,1,60,2233.35
S00270,6,paid,middle,1,2.6,0.992,24.0,0,495,7560.0
S00271,22,organic,middle,2,2.4,1.0,8.0,0,95,2520.0
S00272,10,paid,elementary,2,2.7,0.932,3.61,1,495,1137.15
S00273,4,walk_in,high,1,2.2,1.0,0.59,1,45,185.85
S00274,28,organic,college,1,1.2,0.945,2.0,0,95,630.0
S00275,7,referral,elementary,2,2.7,0.748,23.0,0,60,7245.0
S00276,27,organic,middle,1,1.2,0.934,3.0,0,95,945.0
S00277,17,referral,middle,1,1.1,0.832,13.0,0,60,4095.0
S00278,10,referral,elementary,2,3.0,0.672,20.0,0,60,6300.0
S00279,7,referral,high,1,2.4,0.682,7.24,1,60,2280.6
S00280,20,paid,high,1,1.8,1.0,3.82,1,495,1203.3
S00281,4,organic,high,1,2.3,0.768,1.98,1,95,623.7
S00282,2,organic,high,2,2.4,0.84,12.4,1,95,3906.0
S00283,4,paid,elementary,1,0.4,0.84,4.72,1,495,1486.8
S00284,20,referral,elementary,1,1.6,0.874,1.37,1,60,431.55
S00285,23,organic,middle,2,0.6,0.898,7.0,0,95,2205.0
S00286,22,organic,high,1,1.8,0.805,1.5,1,95,472.5
S00287,13,paid,middle,2,1.0,0.773,17.0,0,495,5355.0
S00288,5,referral,middle,1,2.9,0.645,16.92,1,60,5329.8
S00289,16,walk_in,high,2,2.1,0.775,0.5,1,45,157.5
S00290,28,organic,elementary,2,0.9,0.943,2.0,0,95,630.0
S00291,19,organic,elementary,2,1.6,1.0,11.0,0,95,3465.0
S00292,2,referral,elementary,1,0.6,1.0,28.0,0,60,8820.0
S00293,9,paid,college,1,1.7,1.0,10.22,1,495,3219.3
S00294,10,referral,elementary,2,2.1,0.91,0.5,1,60,157.5
S00295,19,walk_in,elementary,2,1.9,0.857,0.5,1,45,157.5
S00296,3,walk_in,middle,1,0.0,0.786,5.29,1,45,1666.35
S00297,13,referral,middle,1,1.3,0.873,17.0,0,60,5355.0
S00298,27,referral,elementary,1,2.1,0.601,3.0,0,60,945.0
S00299,2,paid,high,2,1.9,0.833,0.53,1,495,166.95
S00300,17,paid,elementary,1,2.7,0.989,13.0,0,495,4095.0
S00301,15,organic,high,1,0.5,0.946,3.65,1,95,1149.75
S00302,7,referral,elementary,1,2.1,0.962,2.4,1,60,756.0
S00303,14,referral,high,2,1.1,0.861,5.12,1,60,1612.8
S00304,1,referral,elementary,1,1.8,0.7,10.47,1,60,3298.05
S00305,20,paid,high,2,2.0,0.809,10.0,0,495,3150.0
S00306,5,organic,high,2,2.3,0.805,9.84,1,95,3099.6
S00307,28,paid,elementary,1,1.1,1.0,2.0,0,495,630.0
S00308,29,organic,elementary,2,1.8,1.0,1.0,0,95,315.0
S00309,1,referral,middle,1,0.6,0.824,29.0,0,60,9135.0
S00310,15,paid,middle,1,0.4,0.875,6.04,1,495,1902.6
S00311,18,paid,middle,1,2.1,0.822,12.0,0,495,3780.0
S00312,26,paid,high,1,1.6,0.822,0.5,1,495,157.5
S00313,21,referral,middle,1,0.2,0.787,0.53,1,60,166.95
S00314,14,paid,middle,1,0.9,0.902,12.6,1,495,3969.0
S00315,14,referral,middle,1,1.7,0.896,10.67,1,60,3361.05
S00316,11,walk_in,middle,2,3.0,0.86,19.0,0,45,5985.0
S00317,12,paid,middle,1,2.6,0.683,9.86,1,495,3105.9
S00318,6,organic,elementary,1,2.4,0.812,24.0,0,95,7560.0
S00319,21,referral,elementary,2,0.0,0.761,9.0,0,60,2835.0
S00320,17,walk_in,elementary,1,1.6,0.961,13.0,0,45,4095.0
S00321,16,organic,elementary,1,2.1,0.726,14.0,0,95,4410.0
S00322,16,referral,high,1,2.0,0.813,14.0,0,60,4410.0
S00323,12,referral,elementary,1,2.0,0.794,1.31,1,60,412.65
S00324,25,walk_in,elementary,1,1.4,0.806,5.0,0,45,1575.0
S00325,19,organic,middle,2,3.2,0.693,3.47,1,95,1093.05
S00326,6,organic,middle,2,3.0,0.624,1.08,1,95,340.2
S00327,18,walk_in,elementary,1,1.6,1.0,12.0,0,45,3780.0
S00328,12,organic,middle,2,0.8,0.945,17.11,1,95,5389.65
S00329,2,organic,middle,1,3.5,0.805,3.76,1,95,1184.4
S00330,10,paid,high,1,1.2,1.0,2.21,1,495,696.15
S00331,10,paid,college,2,2.7,0.821,8.3,1,495,2614.5
S00332,21,referral,high,1,3.4,0.841,9.0,0,60,2835.0
S00333,26,organic,middle,1,0.8,0.9,4.0,0,95,1260.0
S00334,12,walk_in,middle,1,1.9,0.978,0.5,1,45,157.5
S00335,4,organic,middle,2,1.3,0.95,26.0,0,95,8190.0
S00336,21,referral,elementary,1,2.1,0.873,9.0,0,60,2835.0
S00337,15,organic,college,1,1.9,0.82,5.1,1,95,1606.5
S00338,1,paid,elementary,1,3.4,0.811,1.05,1,495,330.75
S00339,19,organic,elementary,1,2.2,0.962,8.69,1,95,2737.35
S00340,12,organic,high,1,1.6,0.633,12.54,1,95,3950.1
S00341,3,organic,middle,1,2.7,0.798,1.85,1,95,582.75
S00342,27,referral,elementary,2,1.4,0.845,3.0,0,60,945.0
S00343,6,paid,college,1,1.3,0.842,5.91,1,495,1861.65
S00344,18,organic,middle,1,3.7,0.55,3.34,1,95,1052.1
S00345,9,walk_in,middle,2,0.9,0.993,5.77,1,45,1817.55
S00346,11,walk_in,elementary,1,1.2,0.787,19.0,0,45,5985.0
S00347,17,walk_in,high,2,1.7,0.852,7.46,1,45,2349.9
S00348,0,organic,elementary,1,0.7,0.847,30.0,0,95,9450.0
S00349,3,paid,middle,2,0.0,0.77,9.27,1,495,2920.05
S00350,6,organic,high,1,2.6,0.768,24.0,0,95,7560.0
S00351,23,organic,college,2,0.9,0.71,3.66,1,95,1152.9
S00352,7,organic,high,1,1.2,0.776,5.46,1,95,1719.9
S00353,20,paid,high,1,1.3,0.84,6.08,1,495,1915.2
S00354,22,organic,elementary,2,0.8,0.917,8.0,0,95,2520.0
S00355,24,organic,elementary,1,0.7,0.908,6.0,0,95,1890.0
S00356,18,referral,middle,1,1.8,0.837,12.0,0,60,3780.0
S00357,7,paid,elementary,2,3.8,1.0,23.0,0,495,7245.0
S00358,6,organic,college,1,2.3,0.878,1.66,1,95,522.9
S00359,16,paid,elementary,1,2.3,0.696,0.5,1,495,157.5
S00360,5,organic,middle,2,0.3,0.873,25.0,0,95,7875.0
S00361,25,paid,elementary,1,1.6,0.789,1.5,1,495,472.5
S00362,18,organic,elementary,1,0.6,0.887,3.09,1,95,973.35
S00363,13,paid,middle,2,2.3,0.784,0.5,1,495,157.5
S00364,6,paid,elementary,1,1.4,0.777,24.0,0,495,7560.0
S00365,17,paid,high,1,1.7,1.0,13.0,0,495,4095.0
S00366,12,paid,high,2,1.6,0.886,3.19,1,495,1004.85
S00367,12,referral,middle,1,1.1,0.847,18.0,0,60,5670.0
S00368,22,referral,high,2,0.3,0.912,6.65,1,60,2094.75
S00369,22,organic,high,2,2.2,0.831,8.0,0,95,2520.0
S00370,18,organic,middle,2,0.4,1.0,12.0,0,95,3780.0
S00371,18,organic,high,1,0.6,0.959,12.0,0,95,3780.0
S00372,21,walk_in,high,1,1.4,0.994,9.0,0,45,2835.0
S00373,22,walk_in,middle,2,1.0,0.566,8.0,0,45,2520.0
S00374,19,organic,middle,2,1.9,0.904,11.0,0,95,3465.0
S00375,29,walk_in,high,1,2.6,0.933,1.0,0,45,315.0
S00376,16,organic,college,1,1.9,1.0,9.74,1,95,3068.1
S00377,23,paid,middle,1,1.8,0.856,6.65,1,495,2094.75
S00378,23,paid,elementary,1,1.7,0.668,2.07,1,495,652.05
S00379,17,walk_in,high,1,2.4,0.891,13.0,0,45,4095.0
S00380,12,organic,high,1,0.0,0.868,18.0,0,95,5670.0
S00381,7,organic,elementary,2,2.0,0.667,23.0,0,95,7245.0
S00382,3,paid,middle,1,0.8,0.83,14.73,1,495,4639.95
S00383,15,organic,elementary,1,0.5,1.0,15.0,0,95,4725.0
S00384,19,organic,high,1,1.7,0.99,2.59,1,95,815.85
S00385,28,paid,middle,1,1.3,0.955,2.0,0,495,630.0
S00386,25,walk_in,elementary,1,2.2,0.72,4.18,1,45,1316.7
S00387,29,referral,elementary,2,2.6,1.0,1.0,0,60,315.0
S00388,11,referral,middle,1,0.0,0.805,2.68,1,60,844.2
S00389,3,referral,college,1,1.6,0.853,1.85,1,60,582.75
S00390,18,referral,elementary,2,3.4,0.642,1.62,1,60,510.3
S00391,20,referral,middle,2,2.4,0.991,2.1,1,60,661.5
S00392,22,paid,college,2,2.9,0.873,0.5,1,495,157.5
S00393,0,referral,elementary,2,1.7,0.975,30.0,0,60,9450.0
S00394,15,organic,elementary,1,0.4,0.926,13.17,1,95,4148.55
S00395,3,organic,high,1,0.6,0.9,14.84,1,95,4674.6
S00396,28,referral,elementary,1,2.3,0.85,2.0,0,60,630.0
